,group_decision
房价,0.131550667
短波,0.032161667
降水,0.044574
蒸发,0.037287
AQI,0.046499333
气温,0.067721667
人口,0.190572667
收入,0.129679667
从业,0.166272333
通勤,0.105644667
生物,0.048036667
